Namespace(batch_size=1024, dataset='arxiv', decode_channels=256, decode_layers=3, device=0, dropout=0.5, epochs=400, eval_steps=1, feature_type='E', hidden_channels=128, log_steps=1, lr=0.001, mask_ratio=0.8, mask_type='dm', num_layers=2, patience=50, runs=3, seed=42, use_sage='GCN', use_valedges_as_input=False)
loading ogb dataset...
Loading pretrained LM features (explanations) ...
LM_emb_path: ../prt_lm/ogbn-arxiv2/microsoft/deberta-base-seed0.emb
### Input graph arxiv is directed
Start training with mask ratio=0.8 # optimization edges=833616 / 1042020
Run: 01, Epoch: 01, Best_epoch: 01, Best_valid: 99.49%, Loss: 0.4099, 
***************
Run: 01, Epoch: 02, Best_epoch: 02, Best_valid: 99.62%, Loss: 0.3398, 
***************
Run: 01, Epoch: 03, Best_epoch: 02, Best_valid: 99.62%, Loss: 0.3258, 
***************
Run: 01, Epoch: 04, Best_epoch: 04, Best_valid: 99.67%, Loss: 0.3157, 
***************
Run: 01, Epoch: 05, Best_epoch: 05, Best_valid: 99.70%, Loss: 0.3108, 
***************
Run: 01, Epoch: 06, Best_epoch: 05, Best_valid: 99.70%, Loss: 0.3069, 
***************
Run: 01, Epoch: 07, Best_epoch: 05, Best_valid: 99.70%, Loss: 0.3020, 
***************
Run: 01, Epoch: 08, Best_epoch: 08, Best_valid: 99.72%, Loss: 0.3006, 
***************
Run: 01, Epoch: 09, Best_epoch: 08, Best_valid: 99.72%, Loss: 0.2987, 
***************
Run: 01, Epoch: 10, Best_epoch: 08, Best_valid: 99.72%, Loss: 0.2982, 
***************
Run: 01, Epoch: 11, Best_epoch: 08, Best_valid: 99.72%, Loss: 0.2952, 
***************
Run: 01, Epoch: 12, Best_epoch: 12, Best_valid: 99.73%, Loss: 0.2951, 
***************
Run: 01, Epoch: 13, Best_epoch: 13, Best_valid: 99.74%, Loss: 0.2930, 
***************
Run: 01, Epoch: 14, Best_epoch: 13, Best_valid: 99.74%, Loss: 0.2929, 
***************
Run: 01, Epoch: 15, Best_epoch: 13, Best_valid: 99.74%, Loss: 0.2933, 
***************
Run: 01, Epoch: 16, Best_epoch: 13, Best_valid: 99.74%, Loss: 0.2908, 
***************
Run: 01, Epoch: 17, Best_epoch: 17, Best_valid: 99.75%, Loss: 0.2902, 
***************
Run: 01, Epoch: 18, Best_epoch: 17, Best_valid: 99.75%, Loss: 0.2902, 
***************
Run: 01, Epoch: 19, Best_epoch: 19, Best_valid: 99.76%, Loss: 0.2897, 
***************
Run: 01, Epoch: 20, Best_epoch: 20, Best_valid: 99.76%, Loss: 0.2890, 
***************
Run: 01, Epoch: 21, Best_epoch: 20, Best_valid: 99.76%, Loss: 0.2900, 
***************
Run: 01, Epoch: 22, Best_epoch: 22, Best_valid: 99.77%, Loss: 0.2892, 
***************
Run: 01, Epoch: 23, Best_epoch: 23, Best_valid: 99.77%, Loss: 0.2902, 
***************
Run: 01, Epoch: 24, Best_epoch: 23, Best_valid: 99.77%, Loss: 0.2895, 
***************
Run: 01, Epoch: 25, Best_epoch: 25, Best_valid: 99.78%, Loss: 0.2893, 
***************
Run: 01, Epoch: 26, Best_epoch: 25, Best_valid: 99.78%, Loss: 0.2890, 
***************
Run: 01, Epoch: 27, Best_epoch: 25, Best_valid: 99.78%, Loss: 0.2876, 
***************
Run: 01, Epoch: 28, Best_epoch: 28, Best_valid: 99.78%, Loss: 0.2874, 
***************
Run: 01, Epoch: 29, Best_epoch: 28, Best_valid: 99.78%, Loss: 0.2884, 
***************
Run: 01, Epoch: 30, Best_epoch: 30, Best_valid: 99.78%, Loss: 0.2895, 
***************
Run: 01, Epoch: 31, Best_epoch: 30, Best_valid: 99.78%, Loss: 0.2882, 
***************
Run: 01, Epoch: 32, Best_epoch: 32, Best_valid: 99.78%, Loss: 0.2884, 
***************
Run: 01, Epoch: 33, Best_epoch: 33, Best_valid: 99.78%, Loss: 0.2883, 
***************
Run: 01, Epoch: 34, Best_epoch: 33, Best_valid: 99.78%, Loss: 0.2886, 
***************
Run: 01, Epoch: 35, Best_epoch: 33, Best_valid: 99.78%, Loss: 0.2892, 
***************
Run: 01, Epoch: 36, Best_epoch: 33, Best_valid: 99.78%, Loss: 0.2877, 
***************
Run: 01, Epoch: 37, Best_epoch: 33, Best_valid: 99.78%, Loss: 0.2899, 
***************
Run: 01, Epoch: 38, Best_epoch: 38, Best_valid: 99.79%, Loss: 0.2872, 
***************
