Namespace(batch_size=1024, dataset='arxiv', decode_channels=256, decode_layers=3, device=0, dropout=0.5, epochs=400, eval_steps=1, feature_type='TA', hidden_channels=128, log_steps=1, lr=0.001, mask_ratio=0.8, mask_type='dm', num_layers=2, patience=50, runs=3, seed=42, use_sage='GCN', use_valedges_as_input=False)
loading ogb dataset...
Loading pretrained LM features (title and abstract) ...
LM_emb_path: ../prt_lm/ogbn-arxiv/microsoft/deberta-base-seed0.emb
### Input graph arxiv is directed
Start training with mask ratio=0.8 # optimization edges=833616 / 1042020
Run: 01, Epoch: 01, Best_epoch: 01, Best_valid: 99.53%, Loss: 0.4104, 
***************
Run: 01, Epoch: 02, Best_epoch: 02, Best_valid: 99.61%, Loss: 0.3389, 
***************
Run: 01, Epoch: 03, Best_epoch: 03, Best_valid: 99.61%, Loss: 0.3210, 
***************
Run: 01, Epoch: 04, Best_epoch: 04, Best_valid: 99.68%, Loss: 0.3122, 
***************
Run: 01, Epoch: 05, Best_epoch: 05, Best_valid: 99.70%, Loss: 0.3082, 
***************
Run: 01, Epoch: 06, Best_epoch: 06, Best_valid: 99.70%, Loss: 0.3019, 
***************
Run: 01, Epoch: 07, Best_epoch: 07, Best_valid: 99.72%, Loss: 0.2972, 
***************
Run: 01, Epoch: 08, Best_epoch: 08, Best_valid: 99.74%, Loss: 0.2953, 
***************
Run: 01, Epoch: 09, Best_epoch: 08, Best_valid: 99.74%, Loss: 0.2939, 
***************
Run: 01, Epoch: 10, Best_epoch: 10, Best_valid: 99.76%, Loss: 0.2913, 
***************
Run: 01, Epoch: 11, Best_epoch: 10, Best_valid: 99.76%, Loss: 0.2890, 
***************
Run: 01, Epoch: 12, Best_epoch: 10, Best_valid: 99.76%, Loss: 0.2895, 
***************
Run: 01, Epoch: 13, Best_epoch: 10, Best_valid: 99.76%, Loss: 0.2877, 
***************
Run: 01, Epoch: 14, Best_epoch: 14, Best_valid: 99.76%, Loss: 0.2868, 
***************
Run: 01, Epoch: 15, Best_epoch: 14, Best_valid: 99.76%, Loss: 0.2858, 
***************
Run: 01, Epoch: 16, Best_epoch: 14, Best_valid: 99.76%, Loss: 0.2852, 
***************
Run: 01, Epoch: 17, Best_epoch: 17, Best_valid: 99.77%, Loss: 0.2843, 
***************
